Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,BMO,BNS,CM,RBC,TD,BMO,BNS,CM,RBC,TD,BMO,BNS,CM,RBC,TD,BMO,BNS,CM,RBC,TD,BMO,BNS,CM,RBC,TD
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,85.21015930175781,50.528228759765625,47.92085647583008,188.30567932128906,58.13543701171875,85.29239929654206,50.62983016431029,47.95725673978726,188.84218768583736,58.233814789418616,84.08345192223447,50.0905478691627,47.22928231616954,177.93951906785063,57.602534447712166,84.3630754339122,50.199972563968686,47.443629483803484,185.28779784257014,57.840291168728804,554700,1279900,736800,87800,1523300
2021-06-22,85.55557250976562,50.590755462646484,48.03410339355469,188.4493865966797,58.06165313720703,85.64603838793042,50.676722212432054,48.062413342815766,190.30801534986298,58.14363671167312,84.58512549586925,50.1139998607629,47.51239191225095,186.88776712758028,57.504156073913535,85.03745488669321,50.53604609667003,47.92086359651037,188.54519792944959,58.14363671167312,431300,1538400,1029000,76100,2015200
2021-06-23,85.48155212402344,50.7626953125,48.07050323486328,190.1738739013672,57.93864822387695,86.03256696004853,50.95808675860335,48.40213538849127,191.75465844145808,58.18460509004712,85.36641488289905,50.684539926633406,48.03814812583786,189.06252684764874,57.791075355163436,85.85163521699334,50.77832996739755,48.04623844587073,189.52240366772548,58.18460509004712,420800,1225900,676000,75100,1485100
2021-06-24,85.25128173828125,50.88774871826172,47.91682052612305,195.6635284423828,57.96324920654297,85.94210521822305,50.95808677670452,48.29294017880484,195.91263204731817,58.315784085236665,85.02922685222185,50.49696582591621,47.89255265186575,188.899663868092,57.80748234498783,85.94210521822305,50.88774871826172,48.26462714457916,190.95949046704789,58.21740633161103,900100,1106400,3046400,70300,1174100
2021-06-25,86.04901123046875,51.427040100097656,47.784053802490234,193.6995086669922,58.45516586303711,86.17237435121584,51.45829748967663,48.311039119319574,199.1412674265506,58.52894918187713,85.34173603099498,50.989359128619846,47.784053802490234,192.0229127997106,58.09443073552424,85.40753053199462,51.05188583352736,47.94746060965621,196.4970414929043,58.2092089570158,475800,1293600,3662200,910900,1040800
2021-06-28,84.6591567993164,50.80177307128906,46.81995391845703,188.46853637695312,57.70909118652344,85.75296081126618,51.247265304322354,47.636984782589636,194.89707572624704,58.35677175573664,84.5193418858027,50.653273672653505,46.619782229427656,187.32844885649192,57.57791877962637,85.58848079767517,51.247265304322354,47.61655776429616,194.89707572624704,58.35677175573664,687600,1607800,3320400,57000,2542500
2021-06-29,83.99300384521484,50.77051544189453,46.27253723144531,188.6409912109375,57.504119873046875,85.04569733486946,51.020616268194544,46.97927023327007,191.0361282990335,57.979633062522005,83.94366109278958,50.70017737959486,46.25211333181374,187.93203998886534,57.446730781554486,84.86476554329585,50.817407483427644,46.72598956738271,189.30205138625305,57.83206021940703,728800,818900,2299800,61600,1526900
2021-06-30,84.34663391113281,50.85647964477539,46.51356506347656,191.0552978515625,57.43034362792969,84.38775705077258,50.94245234844058,46.52582002716153,191.6205467087585,57.75008378476657,83.77094760323716,50.67671691087371,46.22351949493979,187.2518188993166,57.2499761025463,83.85318760800652,50.7705069411102,46.235774458624746,187.52007308980814,57.38934873399978,527600,1032300,1142400,54500,1292800
2021-07-01,85.05390167236328,51.25508499145508,46.9956169128418,193.62716674804688,58.0124397277832,85.16903892368964,51.34105770379513,47.065063790102386,194.99944917070118,58.10262349806848,84.44531816185118,50.89556545024835,46.533995584507586,191.79424515543377,57.52872620944008,84.66736678240639,51.1065855859816,46.63203841809462,192.90743451834965,57.72549421094058,195500,2682500,502800,45300,599000
2021-07-02,84.84008026123047,50.8095817565918,46.90982437133789,192.76345825195312,57.87306594848633,85.44866378126387,50.91118313881959,47.01603613184218,194.58678848734846,58.045239528763695,84.55223085390156,50.37971828779659,46.72599057035708,191.99575567177413,57.618915076080974,85.03745751309081,50.77050109111138,46.88122841785979,193.8958444507969,57.856671741049475,322200,2902500,461400,37900,937300
2021-07-06,83.57357025146484,50.31161117553711,46.40735626220703,188.65618896484375,57.35657501220703,84.58513423066327,51.2285203344377,46.73008385399216,193.46400913202532,57.97966134877926,83.19526121030437,50.29580198103254,46.13365164830817,186.39143119793076,57.06142918198571,84.5604628567087,51.204808050328616,46.725997826653554,193.46400913202532,57.938666439881054,476200,1423700,770800,38200,3774300
2021-07-07,83.53243255615234,49.98752975463867,46.354248046875,188.80014038085938,57.07781982421875,84.02587877279015,50.50131500235796,46.52173775864237,190.46990957542585,57.45494915238622,83.31860356162264,49.90848378286189,46.076457419581715,187.13994770037004,56.84825713082028,83.3843980637101,50.161424861956576,46.27254308783256,187.89807375515716,57.3811595800579,525000,1276100,507600,44500,4123800
2021-07-08,81.99452209472656,49.125953674316406,45.761898040771484,185.9212188720703,55.30145263671875,82.71824909588881,49.552789907757166,45.892622856397786,188.43547855935807,56.50114389743992,81.50107585953094,48.8888187481544,45.39831954991316,183.45492961491553,55.11116091723912,82.71824909588881,49.481650032967735,45.84768902555869,185.220669019072,56.48459294910595,785300,1457800,824800,41600,5160200
2021-07-09,83.28571319580078,50.11399841308594,46.550331115722656,190.23959350585938,56.31083679199219,83.91074846828512,50.17723217283828,46.64020500728797,190.7385972177608,56.43494363514987,82.4468551856191,49.536973394309165,46.178583702196086,188.03241214233924,55.62412404288067,83.04721908640832,49.536973394309165,46.27662653084673,188.03241214233924,56.012982893348244,913600,1436500,561000,33500,2257000
2021-07-12,83.86139678955078,50.374839782714844,46.848548889160156,191.45834350585938,56.54249572753906,83.88606815861718,50.39064897560144,46.87305881721675,191.63108683661798,56.56732214436888,82.41394915073568,49.60020742304299,46.10505094309867,187.18793566778294,55.690305140787835,82.71824400974211,49.766199425409404,46.33381858289441,189.04005401914372,55.97988985944654,629600,973100,402000,67200,1320100
